doc_id,company,date,sales,operating_income,profit,operating_income_per_employee,equity_ratio,current_ratio,cash_and_equivalents,roe,roa,employees
S1007LRN,株式会社ワキタ,2016-05-27 00:00:00,42250000000.0,8638000000.0,15154000000.0,22320413.436692502,0.759,2.868018286622938,13965000000.0,0.037,0.1805079092814941,387.0
S1007L5Q,株式会社ダイセキ,2016-05-27 00:00:00,36513000000.0,7302000000.0,12908000000.0,9840970.350404313,0.81,3.6770624701955175,19714000000.0,0.07,0.226027877004973,742.0
S1007KKS,株式会社ライフフーズ,2016-05-27 00:00:00,11854175000.0,376232000.0,8664692000.0,1425121.2121212122,0.444,1.6688221589020873,2312456000.0,0.059,1.131485214299034,264.0
S1007LX9,株式会社エービーシー・マート,2016-05-27 00:00:00,140761000000.0,39651000000.0,115060000000.0,12387066.541705716,0.765,3.903043584124665,41990000000.0,0.182,0.9572140462384466,3201.0
S1007KCQ,株式会社ライフコーポレーション,2016-05-27 00:00:00,568717000000.0,10823000000.0,155049000000.0,1884883.3159177988,0.299,0.4775802767822484,7403000000.0,0.058,0.8782555992341766,5742.0
S1007LKD,株式会社リヒトラブ,2016-05-27 00:00:00,8812521000.0,-36562000.0,2764726000.0,-66355.7168784029,0.614,2.729009374182469,1599807000.0,0.022,0.2110895852201573,551.0
S1007LQH,株式会社エコス,2016-05-27 00:00:00,106352060000.0,2431417000.0,27569127000.0,1871760.585065435,0.165,0.5069054366826535,1693755000.0,0.08,0.8069768740677541,1299.0
S1007KVT,株式会社ケーヨー,2016-05-27 00:00:00,190295000000.0,904000000.0,45952000000.0,592398.4272608126,0.375,1.2219001610305955,1741000000.0,0.06,0.4845928331892097,1526.0
S1007M10,ＪＭＡＣＳ株式会社,2016-05-27 00:00:00,4601000000.0,205348000.0,1165763000.0,1629746.0317460315,0.725,2.030268603201533,415000000.0,0.054,0.19387377349077,126.0
S1007LUX,スター精密株式会社,2016-05-27 00:00:00,41654208000.0,5476657000.0,19603376000.0,2390509.3845482324,0.702,2.848461513876456,14735776000.0,0.067,0.3775328234256829,2291.0
S1007LJA,株式会社クリーク・アンド・リバー社,2016-05-27 00:00:00,15458385000.0,1296320000.0,7240250000.0,3021724.9417249416,0.549,1.9015049808017608,2341559000.0,0.051,1.258579863347978,429.0
S1007LCM,株式会社カンセキ,2016-05-27 00:00:00,30633189000.0,957817000.0,8755584000.0,2645903.314917127,0.1763,0.5909305193225571,1202894000.0,0.1446,0.3324233905364633,362.0
S1007LSZ,タキヒヨー株式会社,2016-05-27 00:00:00,69297000000.0,2247000000.0,15905000000.0,2403208.556149733,0.566,1.50040028255239,2395000000.0,0.03,0.3121749200180573,935.0
S1007HXE,株式会社天満屋ストア,2016-05-27 00:00:00,77137414000.0,2184646000.0,17915322000.0,3170748.9114658926,0.248,0.4283302540713027,1059253000.0,0.021,0.2859582893396714,689.0
S1007LWU,株式会社ＩＤＯＭ,2016-05-27 00:00:00,132881000000.0,5325000000.0,39075000000.0,2647936.3500745897,0.499,1.481432962160528,7945000000.0,0.145,0.7150961696832165,2011.0
S1007LT7,富士精工株式会社,2016-05-27 00:00:00,15864467000.0,1014966000.0,4930030000.0,665115.3342070773,0.584,3.319802146877635,2461834000.0,0.041,0.2629122317384968,1526.0
S1007LSQ,株式会社　山陽百貨店,2016-05-27 00:00:00,20327000000.0,162752000.0,4193527000.0,602785.1851851852,0.067,0.5539656817413431,1542000000.0,0.249,0.3048507560337307,270.0
S1007L1A,株式会社ベスト電器,2016-05-27 00:00:00,261705000000.0,691000000.0,40176000000.0,143301.5346329324,0.353,1.5052228214589838,14976000000.0,0.013,0.3199566765153265,4822.0
S1007LY6,株式会社エスクロー・エージェント・ジャパン,2016-05-27 00:00:00,1204480000.0,203997000.0,598427000.0,2266633.333333333,0.882,8.217215726865284,1134297000.0,0.078,0.3496395673171866,90.0
S1007LHU,株式会社アダストリア,2016-05-27 00:00:00,115058000000.0,5981000000.0,102524000000.0,2385719.984044675,0.653,0.9786606129398412,25308000000.0,0.174,1.633302002517086,2507.0
S1007LXH,株式会社ハローズ,2016-05-27 00:00:00,193000000.0,3445000000.0,22824000000.0,4642857.142857143,0.329,0.6951812811305456,2490000000.0,0.108,0.5854259112011696,742.0
S1007K4Q,株式会社アークコア,2016-05-27 00:00:00,3541737000.0,10271000.0,977677000.0,142652.77777777778,0.3164,3.2466010754455583,551418000.0,0.0208,0.6249685175170453,72.0
S1007LWY,株式会社リックコーポレーション,2016-05-27 00:00:00,27135526000.0,382838000.0,9105254000.0,1177963.076923077,0.145,0.8032992934265417,686940000.0,0.0775,0.6389955508763469,325.0
S1007LU3,株式会社東天紅,2016-05-27 00:00:00,6578140000.0,-567477000.0,3067619000.0,-1970406.25,0.714,1.1357299457328889,742898000.0,0.002,0.2411273111460794,288.0
S1007LJ0,株式会社オンワードホールディングス,2016-05-27 00:00:00,243204000000.0,5731000000.0,129063000000.0,1435261.7079889807,0.563,1.067798465594468,32087000000.0,0.023,0.4660340363762417,3993.0
S1007KXL,株式会社アルバイトタイムス,2016-05-27 00:00:00,3774584000.0,954197000.0,3458482000.0,8155529.914529915,0.837,6.189720878131027,2265101000.0,0.128,0.9111792541437992,117.0
S1007LWR,株式会社マルヨシセンター,2016-05-27 00:00:00,39969627000.0,821423000.0,9929427000.0,1535370.093457944,0.134,0.4225818541245797,523445000.0,0.01,0.5016602983793013,535.0
S1007M2T,株式会社リテールパートナーズ,2016-05-27 00:00:00,80577434000.0,3485965000.0,21944154000.0,4994219.197707736,0.389,0.712730980948802,2864696000.0,0.156,0.6025405042545475,698.0
S1007LFZ,株式会社安芸ゴルフ倶楽部,2016-05-27 00:00:00,190902000.0,49094000.0,225824000.0,1818296.2962962964,0.173,0.0767545746132009,1569000.0,-0.182,0.2153479674285054,27.0
S1007LW3,株式会社松屋,2016-05-27 00:00:00,71376000000.0,2179000000.0,21075000000.0,2410398.230088496,0.292,0.5194525985033283,2771000000.0,0.386,0.4876214715409532,904.0
S1007LDY,コーナン商事株式会社,2016-05-27 00:00:00,1072000000.0,11837000000.0,99982000000.0,4632876.712328767,0.315,1.1016269957010791,2695000000.0,0.133,0.4126661796329086,2555.0
S1007LHN,株式会社イズミ,2016-05-27 00:00:00,552746000000.0,30330000000.0,116930000000.0,9097180.563887222,0.303,0.6166626894165375,6260000000.0,0.094,0.3157053488742551,3334.0
S1007LXI,株式会社チヨダ,2016-05-27 00:00:00,154086000000.0,7753000000.0,69005000000.0,3662257.912139821,0.529,2.172647794536493,43355000000.0,0.073,0.5443923759033102,2117.0
S1007M3I,株式会社ジェイグループホールディングス,2016-05-27 00:00:00,9514434000.0,67592000.0,9427158000.0,158295.0819672131,0.244,0.5379212328446362,322346000.0,0.084,1.4643808189987606,427.0
S1007LWK,インターライフホールディングス株式会社,2016-05-27 00:00:00,9670622000.0,455252000.0,3016892000.0,2677952.9411764704,0.585,1.476962168786628,846005000.0,-0.037,0.7212704952032719,170.0
S1007M3O,株式会社　リソー教育,2016-05-27 00:00:00,18429422000.0,1006227000.0,4218163000.0,1976870.3339882125,-0.019,1.3102410781007643,2169323000.0,1.314,0.3395157475533153,509.0
S1007M0Q,株式会社セイヒョー,2016-05-27 00:00:00,3721664000.0,-85708000.0,385424000.0,-1045219.512195122,0.554,1.1195374283956652,135284000.0,0.043,0.1795019155303732,82.0
S1007LQG,株式会社市進ホールディングス,2016-05-27 00:00:00,17964043000.0,315013000.0,2647690000.0,411781.6993464052,0.434,0.6648421948328138,1297775000.0,0.141,0.2283357283507771,765.0
S1007LWN,わらべや日洋ホールディングス株式会社,2016-05-27 00:00:00,163372000000.0,4137000000.0,28994000000.0,2466905.1878354205,0.54,1.2515641192952829,1619000000.0,0.057,0.4673737829647301,1677.0
S1007LVW,ＪＮＳホールディングス株式会社,2016-05-27 00:00:00,6037561000.0,-413961000.0,1416355000.0,-1839826.6666666667,0.769,3.287988186186756,1222669000.0,0.07,0.3563378655227129,225.0
