doc_id,company,date,sales,operating_income,profit,operating_income_per_employee,equity_ratio,current_ratio,cash_and_equivalents,roe,roa,employees
S100T5GC,株式会社ピーエイ,2024-03-28 00:00:00,2264211000.0,41464000.0,744239000.0,235590.9090909091,0.438,1.5905267674034933,662967000.0,-0.083,0.4439761522969581,176.0
S100T4LM,興研株式会社,2024-03-28 00:00:00,8605330000.0,1184532000.0,4992743000.0,4200468.085106383,0.534,2.0971703180288923,1492229000.0,0.0383,0.2722569666580653,282.0
S100T3KX,小林製薬株式会社,2024-03-28 00:00:00,158340000000.0,26669000000.0,92331000000.0,7763901.018922853,0.739,3.337103592039993,56272000000.0,0.113,0.3950293498536785,3435.0
S100T542,株式会社ビーグリー,2024-03-28 00:00:00,12378124000.0,1755563000.0,6626277000.0,8821924.623115579,0.26,1.0151157065598475,3230336000.0,0.087,0.3307166088760307,199.0
S100T5LN,株式会社ＣＡＣ　Ｈｏｌｄｉｎｇｓ,2024-03-28 00:00:00,50683000000.0,3187000000.0,11601000000.0,627732.9131376797,0.5474,2.691379497771497,8978000000.0,0.0565,0.2542629202647613,5077.0
S100T5D4,株式会社ノーリツ,2024-03-28 00:00:00,208396000000.0,6889000000.0,67323000000.0,811520.7916126752,0.557,1.6472428188672192,30826000000.0,0.0137,0.3377888161360728,8489.0
S100T4PW,株式会社テラプローブ,2024-03-28 00:00:00,16908448000.0,6839075000.0,9378820000.0,8813240.979381444,0.402,2.903415029291688,8628748000.0,0.01,0.164749025451903,776.0
S100T4XQ,株式会社セルシード,2024-03-28 00:00:00,275824000.0,-743215000.0,61019000.0,-18580375.0,0.911,6.817770275879244,1065072000.0,,0.0419016894170062,40.0
S100T61P,マリモ地方創生リート投資法人,2024-03-28 00:00:00,,985041000.0,,,,1.14923633098259,1241619000.0,,,
S100T4L3,株式会社セキュア,2024-03-28 00:00:00,2790181000.0,-169596000.0,1312003000.0,-1863692.307692308,0.31,1.9682694645896808,372110000.0,0.075,0.8935560589364255,91.0
S100T51Q,株式会社ズーム,2024-03-28 00:00:00,8608373000.0,664159000.0,5221606000.0,5443926.229508197,0.619,1.835171598498513,2312710000.0,0.052,0.6647073590260882,122.0
S100T61T,カナディアン・ソーラー・インフラ投資法人,2024-03-28 00:00:00,,1156173000.0,,,,2.325249529314512,4989834000.0,,,
S100T5UD,株式会社セプテーニ・ホールディングス,2024-03-28 00:00:00,,2875179000.0,,2506694.856146469,0.728,1.610118514401984,8855641000.0,0.06,,1147.0
S100T4U2,株式会社フォーサイド,2024-03-28 00:00:00,241527000.0,-75358000.0,1821833000.0,-1004773.3333333334,0.38,1.265380294912205,466799000.0,-0.101,0.4940124647895726,75.0
S100T4YU,古林紙工株式会社,2024-03-28 00:00:00,14653411000.0,468399000.0,2683336000.0,685796.486090776,0.464,1.1299230235939608,1127614000.0,0.062,0.1434494497560782,683.0
S100T5KO,株式会社トライト,2024-03-28 00:00:00,1015000000.0,-123000000.0,4926000000.0,-24098.7460815047,-7.059,0.6165306509774151,166000000.0,0.113,inf,5104.0
S100T5I0,株式会社ＦＵＪＩジャパン,2024-03-28 00:00:00,1507871000.0,-27818000.0,554837000.0,-434656.25,0.511,1.5549932783227038,174187000.0,0.23,0.9685605405981004,64.0
S100T5XA,株式会社ペッパーフードサービス,2024-03-28 00:00:00,67513000000.0,-1555000000.0,8072000000.0,-1624869.383490073,0.02,1.0684375,2469000000.0,0.225,0.3440896883925146,957.0
S100T5HO,ＤＩＣ株式会社,2024-03-28 00:00:00,768568000000.0,39682000000.0,199221000000.0,1934480.573294984,0.389,1.6926918223508047,16690000000.0,0.077,0.2480702492768493,20513.0
S100T4MO,キリンホールディングス株式会社,2024-03-28 00:00:00,138629000000.0,74604000000.0,,69723364.48598132,0.535,2.6161768308584703,17387000000.0,0.1455,,1070.0
S100T621,株式会社ファンペップ,2024-03-28 00:00:00,,-1169069000.0,,-83504928.57142857,0.8995,14.08238468193616,2245438000.0,,,14.0
S100T5FU,日本精蝋株式会社,2024-03-28 00:00:00,27265000000.0,-2043000000.0,1392000000.0,-6676470.588235294,0.312,0.7455149784804194,1953000000.0,-0.079,0.0428228634713591,306.0
