doc_id,company,date,sales,operating_income,profit,operating_income_per_employee,equity_ratio,current_ratio,cash_and_equivalents,roe,roa,employees
S100LELG,株式会社イズミ,2021-05-27 00:00:00,709455000000.0,31888000000.0,156103000000.0,7831041.257367387,0.337,0.8625857742054369,10342000000.0,0.11,0.3273388762489908,4072.0
S100LE0F,株式会社ハブ,2021-05-27 00:00:00,10217014000.0,710750000.0,8851419000.0,2476480.8362369337,0.678,1.441989688300552,1516487000.0,0.152,1.7307263192472842,287.0
S100LEY4,ディップ株式会社,2021-05-27 00:00:00,38062271000.0,7312158000.0,29191113000.0,4940647.297297297,0.724,4.971786238728084,14717468000.0,0.372,1.0419254605177777,1480.0
S100LESE,株式会社フェリシモ,2021-05-27 00:00:00,30906000000.0,304000000.0,15389000000.0,787564.7668393783,0.513,3.4219676549865228,15872000000.0,-0.379,0.5295230885692657,386.0
S100LESK,株式会社日本色材工業研究所,2021-05-27 00:00:00,10007370000.0,449650000.0,1711733000.0,1180183.7270341208,0.265,1.313386020571948,1179226000.0,0.236,0.1688232965937447,381.0
S100LE2G,株式会社歌舞伎座,2021-05-27 00:00:00,4109245000.0,297646000.0,859212000.0,5511962.962962963,0.412,2.1576640942814853,977708000.0,0.033,0.0313165586032076,54.0
S100LEQP,協立情報通信株式会社,2021-05-27 00:00:00,5801556000.0,247240000.0,2031575000.0,1123818.181818182,0.531,2.4627910030291185,488226000.0,0.114,0.8444899016204546,220.0
S100LEBD,株式会社ニューテック,2021-05-27 00:00:00,2723607000.0,359004000.0,1023773000.0,5983400.0,0.487,2.1479955979219603,1568252000.0,0.109,0.3795461564099132,60.0
S100LENE,株式会社乃村工藝社,2021-05-27 00:00:00,115561000000.0,11086000000.0,28981000000.0,7070153.0612244895,0.487,1.9945264731797183,26858000000.0,0.151,0.4005057973217617,1568.0
S100LEHG,株式会社ポプラ,2021-05-27 00:00:00,22201608000.0,-360518000.0,4755482000.0,-951234.8284960422,0.255,1.2160343717068145,803552000.0,0.094,0.3729845385931241,379.0
S100LEIE,株式会社シーズメン,2021-05-27 00:00:00,5264976000.0,-73983000.0,1683493000.0,-437769.2307692308,0.383,4.092450833330943,738862000.0,-0.508,0.6098737282621769,169.0
S100LF08,ＪＮＳホールディングス株式会社,2021-05-27 00:00:00,5287706000.0,875519000.0,2802158000.0,3502076.0,0.592,2.2005588637049582,1323048000.0,-0.138,0.6696879793244898,250.0
S100LF0I,株式会社ベルク,2021-05-27 00:00:00,191164000000.0,10463000000.0,61623000000.0,6422958.870472683,0.533,0.699499596448749,3518000000.0,0.123,0.6216382527993544,1629.0
S100LF1P,株式会社エスエルディー,2021-05-27 00:00:00,5505519000.0,8727000.0,3633215000.0,34223.529411764706,0.357,0.8671308096065481,406668000.0,0.103,1.7584341037622842,255.0
S100LERA,株式会社日宣,2021-05-27 00:00:00,4690968000.0,291271000.0,1175991000.0,2427258.333333333,0.448,2.936327530725822,1264537000.0,0.151,0.2638316956274273,120.0
