doc_id,company,date,sales,operating_income,profit,operating_income_per_employee,equity_ratio,current_ratio,cash_and_equivalents,roe,roa,employees
S100Q9G0,三井住友ＤＳアセットマネジメント株式会社,2023-04-13 00:00:00,,755123031.0,,,,129.72787915201232,,,,
S100QFLG,農林中金全共連アセットマネジメント株式会社,2023-04-13 00:00:00,,7011517.0,,,,216.7246833322164,,,,
S100QGT7,大和アセットマネジメント株式会社,2023-04-13 00:00:00,,-131723415.0,,,,157.32302173417298,,,,
S100QCOI,ＨＳＢＣアセットマネジメント株式会社,2023-04-13 00:00:00,,,,,,,,,,
S100QK1F,インベスコ・アセット・マネジメント株式会社,2023-04-13 00:00:00,,1549007.0,,,,311.4511949798835,,,,
S100QGAW,三井住友ＤＳアセットマネジメント株式会社,2023-04-13 00:00:00,,,,,,,,,,
S100QHGM,三井住友ＤＳアセットマネジメント株式会社,2023-04-13 00:00:00,,215005175.0,,,,114.6899459327554,,,,
S100QE8S,アライアンス・バーンスタイン株式会社,2023-04-13 00:00:00,,,,,,,,,,
S100QJJR,インベスコ・アセット・マネジメント株式会社,2023-04-13 00:00:00,,,,,,,,,,
S100Q9FR,三井住友ＤＳアセットマネジメント株式会社,2023-04-13 00:00:00,,,,,,,,,,
S100QCOO,ＨＳＢＣアセットマネジメント株式会社,2023-04-13 00:00:00,,-81918435.0,,,,28.049368613000905,,,,
S100QE8U,アライアンス・バーンスタイン株式会社,2023-04-13 00:00:00,,,,,,,,,,
S100QEQ9,三井住友ＤＳアセットマネジメント株式会社,2023-04-13 00:00:00,,12263198.0,,,,173.35954961404943,,,,
S100QHES,三井住友ＤＳアセットマネジメント株式会社,2023-04-13 00:00:00,,,,,,,,,,
S100QEV0,三井住友ＤＳアセットマネジメント株式会社,2023-04-13 00:00:00,,332711063.0,,,,116.800282244311,,,,
S100QDT3,三井住友ＤＳアセットマネジメント株式会社,2023-04-13 00:00:00,,-74667269.0,,,,117.07067569489692,,,,
S100QHH3,三井住友ＤＳアセットマネジメント株式会社,2023-04-13 00:00:00,,96119107.0,,,,121.2967000869364,,,,
S100QDXY,ＨＳＢＣアセットマネジメント株式会社,2023-04-13 00:00:00,,-135814947.0,,,,30.846958520972827,,,,
